Date,^NSEI Open,^NSEI High,^NSEI Low,^NSEI Close,^NSEI Adj Close,BAJFINANCE.NS Open,BAJFINANCE.NS High,BAJFINANCE.NS Low,BAJFINANCE.NS Close,BAJFINANCE.NS Adj Close,HDFCBANK.NS Open,HDFCBANK.NS High,HDFCBANK.NS Low,HDFCBANK.NS Close,HDFCBANK.NS Adj Close,INFY.NS Open,INFY.NS High,INFY.NS Low,INFY.NS Close,INFY.NS Adj Close,NESTLEIND.NS Open,NESTLEIND.NS High,NESTLEIND.NS Low,NESTLEIND.NS Close,NESTLEIND.NS Adj Close
23/04/2021,14326.34961,14461.15039,14273.29981,14341.34961,14341.34961,4621.100098,4759.799805,4610.5,4667.799805,4660.269531,1409,1434.599976,1400.199951,1414.150024,1408.055908,1343,1348.400024,1331,1333.800049,1307.968994,16785,16799.30078,16605,16625.69922,16438.45313
26/04/2021,14449.4502,14557.5,14421.29981,14485,14485,4690,4829,4690,4736.549805,4728.908691,1413,1429,1402.75,1404.800049,1398.746216,1332.25,1351.300049,1321,1343.550049,1317.530029,16799.05078,16895,16663.65039,16870.59961,16680.59766
27/04/2021,14493.79981,14667.54981,14484.84961,14653.04981,14653.04981,4747,4889.850098,4746.549805,4865.049805,4857.201172,1407.25,1442,1404.800049,1438.699951,1432.500122,1346,1353,1340.150024,1348.5,1322.384277,16899,16930,16750,16779,16590.0293
28/04/2021,14710.5,14890.25,14694.9502,14864.54981,14864.54981,4915,5310,4915,5280.899902,5272.380371,1436.25,1479,1431,1476.800049,1470.436035,1358,1359.5,1344.599976,1356,1329.739014,16775,16831.09961,16611,16633.80078,16446.46484
29/04/2021,14979,15044.34961,14814.4502,14894.90039,14894.90039,5350,5525,5330,5484.850098,5476.001465,1486.199951,1503.650024,1461,1472.5,1466.154419,1368,1369,1351.400024,1356.349976,1330.082153,16679,16714.59961,16480,16502.55078,16405.45703
30/04/2021,14747.34961,14855.4502,14601.7002,14631.09961,14631.09961,5350,5524.649902,5327.700195,5451.899902,5443.104492,1445,1453.800049,1407.5,1412.300049,1406.213989,1346.300049,1373.900024,1345.900024,1354.349976,1328.120972,16500,16569.19922,16255,16309.25,16213.29395
03/05/2021,14481.04981,14673.84961,14416.25,14634.15039,14634.15039,5316.299805,5580,5291.25,5551.149902,5542.194336,1393,1421.900024,1377.300049,1414.449951,1408.354614,1340.800049,1361,1338,1352.050049,1325.865479,16360,16574.94922,16272.65039,16506.75,16409.63281
04/05/2021,14687.25,14723.40039,14461.5,14496.5,14496.5,5610,5749.950195,5560,5615.75,5606.69043,1409.949951,1423,1383.300049,1388.349976,1382.367065,1354,1354.949951,1324.099976,1329.400024,1303.654175,16510.25,16620,16380,16546.59961,16449.24805
05/05/2021,14604.15039,14637.90039,14506.59961,14617.84961,14617.84961,5683,5700,5452.399902,5515.149902,5506.252441,1401,1409.599976,1381.699951,1402.599976,1396.555664,1341.099976,1343.900024,1327.800049,1341.5,1315.519775,16561.05078,16610,16457.44922,16549.25,16451.88281
06/05/2021,14668.34961,14743.90039,14611.5,14724.79981,14724.79981,5568,5619.899902,5473.350098,5528.799805,5519.880371,1407.599976,1410.800049,1395,1400.900024,1394.863037,1345,1364.699951,1337.400024,1361.599976,1335.230469,16525.05078,16769.80078,16525.05078,16717.59961,16619.24219
